02-06-2024 20:29:47.951 INFO  dispatchRunner [19050 MainThread] - Search process mode: preforked (first search in process) (build b985591d12fd).
02-06-2024 20:29:47.952 INFO  dispatchRunner [19050 MainThread] - initing LicenseMgr in search process: nonPro=0
02-06-2024 20:29:47.952 INFO  LMStackMgr [19050 MainThread] - Initializing CleMgr...
02-06-2024 20:29:47.952 INFO  LicenseMgr [19050 MainThread] - Initing LicenseMgr
02-06-2024 20:29:47.952 INFO  LMConfig [19050 MainThread] - serverName=GOEL-Indexer2 guid=A7E1805D-45C6-44A6-8F41-DCD62F97B6BC
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - connection_timeout=30
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - send_timeout=30
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - receive_timeout=30
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - squash_threshold=2000
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - strict_pool_quota=1
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
02-06-2024 20:29:47.954 INFO  LMConfig [19050 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
02-06-2024 20:29:47.954 INFO  LicenseMgr [19050 MainThread] - Initing LicenseMgr runContext_splunkd=false
02-06-2024 20:29:47.954 INFO  LMStackMgr [19050 MainThread] - closing stack mgr
02-06-2024 20:29:47.954 INFO  LMSlaveInfo [19050 MainThread] - all slaves cleared
02-06-2024 20:29:47.954 INFO  LMStackMgr [19050 MainThread] - partial init only since node has remote master=https://10.0.3.7:8089
02-06-2024 20:29:47.954 INFO  LicenseMgr [19050 MainThread] - StackMgr init complete...
02-06-2024 20:29:47.954 INFO  LMTracker [19050 MainThread] - Setting default product type='enterprise'
02-06-2024 20:29:47.954 INFO  LMTracker [19050 MainThread] - this is not splunkd, will perform partial init
02-06-2024 20:29:47.954 INFO  LicenseMgr [19050 MainThread] - Tracker init complete...
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'licenses'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'pools'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'stacks'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'groups'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'slaves'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'peers'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'localslave'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'localpeer'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'licensermessages'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'scriptedwarning'
02-06-2024 20:29:47.961 INFO  AdminManagerDispatch [19050 MainThread] - added factory for admin handler: 'licenseusage'
02-06-2024 20:29:47.961 INFO  LicenseMgr [19050 MainThread] - Initing LicenseMgr
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - serverName=GOEL-Indexer2 guid=A7E1805D-45C6-44A6-8F41-DCD62F97B6BC
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - connection_timeout=30
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - send_timeout=30
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - receive_timeout=30
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - squash_threshold=2000
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - strict_pool_quota=1
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
02-06-2024 20:29:47.961 INFO  LMConfig [19050 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
02-06-2024 20:29:47.961 INFO  dispatchRunner [19050 MainThread] - Feature flag post-args={"v":1,"enabledFeatures":["stats:allow_stats_v2"],"disabledFeatures":["searchresults:srs2"]}
02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Initializing feature flags from config. feature_seed=46947589
02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Setting feature_flag=parallelreduce:enablePreview:true
02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Setting feature_flag=search:search_retry:false
02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Setting feature_flag=search:search_retry_realtime:false
02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Setting feature_flag=parallelreduce:autoAppliedPercentage:false
02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Setting feature_flag=subsearch:enableConcurrentPipelineProcessing:false
02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Setting feature_flag=stats:allow_stats_v2:true
