et,lt,count,available,complete
1707163200.000,1707166800.000,5,5,1
1707166800.000,1707170400.000,0,0,1
1707170400.000,1707174000.000,0,0,1
1707174000.000,1707177600.000,1,1,1
1707177600.000,1707181200.000,2,2,1
1707181200.000,1707184800.000,1,1,1
1707184800.000,1707188400.000,1,1,1
1707188400.000,1707192000.000,2,2,1
1707192000.000,1707195600.000,3,3,1
1707195600.000,1707199200.000,2,2,1
1707199200.000,1707202800.000,0,0,1
1707202800.000,1707206400.000,2,2,1
1707206400.000,1707210000.000,0,0,1
1707210000.000,1707213600.000,0,0,1
1707213600.000,1707217200.000,1,1,1
1707217200.000,1707220800.000,3,3,1
1707220800.000,1707224400.000,7,7,1
1707224400.000,1707228000.000,1,1,1
1707228000.000,1707231600.000,2,2,1
1707231600.000,1707235200.000,3,3,1
1707235200.000,1707238800.000,4,4,1
1707238800.000,1707242400.000,6,6,1
1707242400.000,1707246000.000,3,3,1
1707246000.000,1707249600.000,3,3,1
1707249600.000,1707253200.000,1,1,1
