sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","api_index_et","api_index_lt","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt","__mv_api_index_et","__mv_api_index_lt","__mv_savedsearch_name"
"rt_md_1707195556.19","| metadata type=sourcetypes | search totalCount > 0","GOEL-SearchHead","1707195557.000080",1,"UI:Search",0,1707195557,0,0,failed,"70.058",,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_md_1707195737.22","| metadata type=sourcetypes | search totalCount > 0","GOEL-SearchHead","1707195737.090902",1,"UI:Search",0,1707195737,0,0,canceled,"13.058",,,,,,,,,,,,,,,,,,,,,,,,,,
"1707195750.25","search index=_internal","GOEL-SearchHead","1707195750.371057",0,"UI:Search",60467,1707195750,1000,60467,completed,"1.444","1707109200.000000000","1707195750.000000000","1707109200.000000000","1707195750.000000000",,,,,,,,,,,,,,,,,,,,,,
"1707197116.27","search index=_internal","GOEL-SearchHead","1707197116.023480",0,"UI:Search",594,1707197116,0,594,failed,"72.968","1707109200.000000000","1707197116.000000000","1707109200.000000000","1707197116.000000000",,,,,,,,,,,,,,,,,,,,,,
"1707197126.28","search index=_internal","GOEL-SearchHead","1707197126.850251",0,"UI:Search",25473,1707197126,1000,25473,completed,"2.681","1707196226.000000000","1707197126.000000000","1707196226.000000000","1707197126.000000000",,,,,,,,,,,,,,,,,,,,,,
"1707197319.29","search index=_internal","GOEL-SearchHead","1707197319.953843",0,"UI:Search",26178,1707197320,1903,26178,completed,"12.164","1707196419.000000000","1707197319.000000000","1707196419.000000000","1707197319.000000000",,,,,,,,,,,,,,,,,,,,,,
"1707197359.30","search index=_internal","GOEL-SearchHead","1707197359.167566",0,"UI:Search",28506,1707197359,1681,28506,completed,"1.524","1707196459.000000000","1707197359.000000000","1707196459.000000000","1707197359.000000000",,,,,,,,,,,,,,,,,,,,,,
"1707197374.31","search index=_internal splunk_server=""GOEL-SearchHead""","GOEL-SearchHead","1707197374.538656",0,"UI:Search",6738,1707197374,6738,6738,completed,"0.672","1707196474.000000000","1707197374.000000000","1707196474.000000000","1707197374.000000000",,,,,,,,,,,,,,,,,,,,,,
"1707197517.3","search index=_internal splunk_server=""GOEL-SearchHead""","GOEL-SearchHead","1707197517.949348",0,"UI:Search",8367,1707197518,1456,8367,completed,"0.9450000000000001","1707196617.000000000","1707197517.000000000","1707196617.000000000","1707197517.000000000",,,,,,,,,,,,,,,,,,,,,,
"1707197527.4","search index=_internal","GOEL-SearchHead","1707197527.965321",0,"UI:Search",30064,1707197527,1110,30064,completed,"1.736","1707196627.000000000","1707197527.000000000","1707196627.000000000","1707197527.000000000",,,,,,,,,,,,,,,,,,,,,,
