sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707192003.1","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707192003.738292",0,0,1707192003,1,0,completed,"0.06",,,,,,,,,,,
"1707192003.2","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707192003.907906",0,0,1707192003,1,0,completed,"0.022",,,,,,,,,,,
"1707192307.6","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707192307.250135",0,0,1707192307,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707192307.7","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707192307.380335",0,0,1707192307,1,0,completed,"0.024",,,,,,,,,,,
"1707192797.8","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707192797.972912",0,0,1707192798,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707192798.9","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707192798.104176",0,0,1707192798,1,0,completed,"0.023",,,,,,,,,,,
"1707193367.11","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707193367.054037",0,0,1707193367,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707193367.12","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707193367.184185",0,0,1707193367,1,0,completed,"0.023",,,,,,,,,,,
"1707195340.15","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707195340.314248",0,0,1707195340,1,0,completed,"0.061",,,,,,,,,,,
"1707195340.16","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707195340.443641",0,0,1707195340,1,0,completed,"0.024",,,,,,,,,,,
"1707195500.17","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707195500.082340",0,0,1707195500,1,0,completed,"0.063",,,,,,,,,,,
"1707195500.18","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707195500.212131",0,0,1707195500,1,0,completed,"0.023",,,,,,,,,,,
"1707202801.14","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707202801.454235",0,0,1707202801,1,0,completed,"0.211",,,,,,,,,,,
"1707202801.15","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707202801.792878",0,0,1707202801,4,0,completed,"0.493",,,,,,,,,,,
"1707202801.16","| rest splunk_server=local services/server/info","GOEL-SearchHead","1707202801.835518",0,0,1707202801,1,0,completed,"0.11900000000000001",,,,,,,,,,,
"1707202802.17","| rest services/server/info | sort splunk_server","GOEL-SearchHead","1707202802.101557",0,0,1707202802,4,0,completed,"0.357",,,,,,,,,,,
