sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707193021.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707193021.401567",0,0,1707193021,0,0,canceled,"0.322",,,,,,,,,,,
"1707196620.26","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707196620.663154",0,0,1707196620,0,0,canceled,"0.855",,,,,,,,,,,
"1707200221.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707200221.333513",0,0,1707200221,0,0,canceled,"1.58",,,,,,,,,,,
"1707203820.22","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707203820.791125",0,0,1707203820,0,0,canceled,"1.097",,,,,,,,,,,
"1707207420.15","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707207420.781472",0,0,1707207420,0,0,canceled,"2.024",,,,,,,,,,,
"1707211021.97","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707211021.014279",0,0,1707211021,0,0,canceled,"1.996",,,,,,,,,,,
"1707214622.149","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707214622.709864",0,0,1707214623,0,0,canceled,"1.56",,,,,,,,,,,
"1707218222.165","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707218222.891818",0,0,1707218223,0,0,canceled,"1.151",,,,,,,,,,,
"1707221821.202","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707221821.816240",0,0,1707221822,0,0,canceled,"1.284",,,,,,,,,,,
"1707225420.14","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707225420.712365",0,0,1707225420,0,0,canceled,"2.068",,,,,,,,,,,
"1707229020.45","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707229020.747029",0,0,1707229020,0,0,canceled,"1.801",,,,,,,,,,,
"1707232620.50","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707232620.887519",0,0,1707232621,0,0,canceled,"1.258",,,,,,,,,,,
"1707236220.26","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707236220.551306",0,0,1707236220,0,0,canceled,"1.7610000000000001",,,,,,,,,,,
"1707239820.37","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707239820.910772",0,0,1707239821,0,0,canceled,"1.452",,,,,,,,,,,
"1707243420.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707243420.859296",0,0,1707243421,0,0,canceled,"1.212",,,,,,,,,,,
"1707247020.103","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-SearchHead","1707247020.748015",0,0,1707247020,0,0,canceled,"1.1420000000000001",,,,,,,,,,,
