 2024-02-06T05:01:54.926+0000 W  CONTROL  [main] Option: sslMode is deprecated. Please use tlsMode instead.
 2024-02-06T05:01:54.927+0000 W  CONTROL  [main] Option: sslPEMKeyFile is deprecated. Please use tlsCertificateKeyFile instead.
 2024-02-06T05:01:54.927+0000 W  CONTROL  [main] Option: sslPEMKeyPassword is deprecated. Please use tlsCertificateKeyFilePassword instead.
 2024-02-06T05:01:54.927+0000 W  CONTROL  [main] Option: sslCipherConfig is deprecated. Please use tlsCipherConfig instead.
 2024-02-06T05:01:54.927+0000 W  CONTROL  [main] Option: sslAllowInvalidHostnames is deprecated. Please use tlsAllowInvalidHostnames instead.
 2024-02-06T05:01:54.928Z W  CONTROL  [main] net.tls.tlsCipherConfig is deprecated. It will be removed in a future release.
 2024-02-06T05:01:54.984Z W  NETWORK  [main] Server certificate has no compatible Subject Alternative Name. This may prevent TLS clients from connecting
 2024-02-06T05:01:54.991Z W  ASIO     [main] No TransportLayer configured during NetworkInterface startup
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten] MongoDB starting : pid=22190 port=8191 dbpath=/opt/splunk/var/lib/splunk/kvstore/mongo 64-bit host=ip-10-0-3-3
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten] db version v4.2.17-linux-splunk-v4
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten] git version: be089838c55d33b6f6039c4219896ee4a3cd704f
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2zi-fips  1 Aug 2023
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten] allocator: tcmalloc
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten] modules: none
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten] build environment:
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten]     distmod: rhel62
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten]     distarch: x86_64
 2024-02-06T05:01:55.550Z I  CONTROL  [initandlisten]     target_arch: x86_64
