sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707196620.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707196620.906095",0,0,1707196621,0,0,canceled,"0.705",,,,,,,,,,,
"1707200221.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707200221.105927",0,0,1707200221,0,0,canceled,"0.513",,,,,,,,,,,
"1707203821.36","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707203821.360829",0,0,1707203821,0,0,canceled,"0.8130000000000001",,,,,,,,,,,
"1707207421.73","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707207421.534919",0,0,1707207421,0,0,canceled,"0.549",,,,,,,,,,,
"1707211020.166","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707211020.754490",0,0,1707211020,0,0,canceled,"0.47000000000000003",,,,,,,,,,,
"1707214620.224","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707214620.854748",0,0,1707214620,0,0,canceled,"0.47600000000000003",,,,,,,,,,,
"1707218220.20","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707218220.724944",0,0,1707218220,0,0,canceled,"0.459",,,,,,,,,,,
"1707221820.75","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707221820.705435",0,0,1707221820,0,0,canceled,"0.467",,,,,,,,,,,
"1707225422.9","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707225422.814654",0,0,1707225422,0,0,canceled,"0.445",,,,,,,,,,,
"1707229022.48","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707229022.113133",0,0,1707229022,0,0,canceled,"0.675",,,,,,,,,,,
"1707232621.72","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707232621.549342",0,0,1707232621,0,0,canceled,"0.871",,,,,,,,,,,
"1707236222.51","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707236222.319478",0,0,1707236222,0,0,canceled,"0.517",,,,,,,,,,,
"1707239821.95","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707239821.859122",0,0,1707239822,0,0,canceled,"0.8190000000000001",,,,,,,,,,,
"1707243421.131","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707243421.757543",0,0,1707243421,0,0,canceled,"0.852",,,,,,,,,,,
"1707247020.250","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707247020.677017",0,0,1707247020,0,0,canceled,"0.675",,,,,,,,,,,
"1707250621.89","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer3","1707250621.455152",0,0,1707250621,0,0,canceled,"0.47100000000000003",,,,,,,,,,,
