02-06-2024 19:17:00.487 INFO  dispatchRunner [7980 MainThread] - Search process mode: preforked (first search in process) (build b985591d12fd).
02-06-2024 19:17:00.488 INFO  dispatchRunner [7980 MainThread] - initing LicenseMgr in search process: nonPro=0
02-06-2024 19:17:00.488 INFO  LMStackMgr [7980 MainThread] - Initializing CleMgr...
02-06-2024 19:17:00.489 INFO  LicenseMgr [7980 MainThread] - Initing LicenseMgr
02-06-2024 19:17:00.489 INFO  LMConfig [7980 MainThread] - serverName=GOEL-DS-LM-MC guid=567E8353-EE88-4727-B620-DAEF32CFEF2B
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - connection_timeout=30
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - send_timeout=30
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - receive_timeout=30
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - squash_threshold=2000
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - strict_pool_quota=1
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
02-06-2024 19:17:00.496 INFO  LMConfig [7980 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
02-06-2024 19:17:00.496 INFO  LicenseMgr [7980 MainThread] - Initing LicenseMgr runContext_splunkd=false
02-06-2024 19:17:00.496 INFO  LMStackMgr [7980 MainThread] - closing stack mgr
02-06-2024 19:17:00.496 INFO  LMSlaveInfo [7980 MainThread] - all slaves cleared
02-06-2024 19:17:00.496 INFO  LMStackMgr [7980 MainThread] - Initalized license_warnings_update_interval=auto
02-06-2024 19:17:00.496 INFO  LMStackMgr [7980 MainThread] - License Manager supports Conditional Licensing Enforcement. For baked in CLE policies, window_period=60 days, max_violations=45, for stack size below 107374182400 bytes
02-06-2024 19:17:00.496 INFO  LMLicense [7980 MainThread] - Applying default enforcement policy for free
02-06-2024 19:17:00.496 INFO  LMStackMgr [7980 MainThread] - Added policy WinSz=30 Warnings=3 MaxSize=0 isDefault=1 features= for free
02-06-2024 19:17:00.496 INFO  LMLicense [7980 MainThread] - Applying default enforcement policy for forwarder
02-06-2024 19:17:00.496 INFO  LMStackMgr [7980 MainThread] - Added policy WinSz=30 Warnings=5 MaxSize=0 isDefault=1 features= for forwarder
02-06-2024 19:17:00.504 INFO  LMStack [7980 MainThread] - Added type=enterprise license, from file=splunk.license.big.license, to stack=enterprise of group=Enterprise
