sid,search,"splunk_server","_time","is_realtime",provenance,"api_index_et","api_index_lt","event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_index_et","__mv_api_index_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5efc688fa348f1b9d_1707205104.3","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes| eval sid = 'search_props.sid' | `dmc_classify_processes`| eval x=""cpu_usage"" | stats sum(pct_memory) as mem_used sum(normalized_pct_cpu) as cpu_used by process_class| append [| rest splunk_server=local /services/server/status/resource-usage/hostwide | fields cpu_idle_pct mem mem_used | eval mem_idle_pct=round((mem-mem_used)/mem,2)*100 | fields - mem mem_used | eval cpu_system_pct=0 | eval mem_system_pct=0 | transpose | eval process_class=if(column=""cpu_idle_pct"" OR column=""mem_idle_pct"",""Idle"",""Non-Splunk processes"") | rename ""row 1"" as value | eval mem_used=if(column=""mem_idle_pct"" OR column=""mem_system_pct"",value,NULL) | eval cpu_used=if(column=""cpu_idle_pct"" OR column=""cpu_system_pct"",value,NULL) | stats first(cpu_used) as cpu_used first(mem_used) as mem_used by process_class] | eventstats sum(mem_used) as sum_mem_used sum(cpu_used) as sum_cpu_used | eval mem_used=if(process_class=""Non-Splunk processes"",100-sum_mem_used,mem_used) | eval cpu_used=if(process_class=""Non-Splunk processes"",100-sum_cpu_used,cpu_used)","GOEL-DS-LM-MC","1707205104.116071",0,splunkjs,0,0,0,1707205106,6,"manager_7998",0,completed,"0.503",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5d067427f712641b6_1707205104.4","| rest splunk_server=local /services/server/introspection/indexer | fields average_KBps splunk_server | eval average_KBps=round(average_KBps,2)."" KB/s""","GOEL-DS-LM-MC","1707205104.132513",0,splunkjs,0,0,0,1707205106,1,"manager_8088",0,completed,"0.34",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5b2ac5de67e3ce255_1707205104.5","| rest splunk_server=local /services/server/status/partitions-space | eval free = if(isnotnull(available), available, free) | stats sum(capacity) as total_capacity sum(free) as total_free","GOEL-DS-LM-MC","1707205104.168078",0,splunkjs,0,0,0,1707205106,1,"manager_8148",0,completed,"0.355",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5c623df2e3ac87fc6_1707205104.6","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes | search search_props.sid=* | stats dc(search_props.sid) AS count by search_props.type | eventstats sum(count) as Total","GOEL-DS-LM-MC","1707205104.184900",0,splunkjs,0,0,0,1707205106,0,"manager_8208",0,completed,"0.396",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5e94506026311d7b4_1707205104.7","| rest splunk_server=local /services/licenser/pools | rename title AS Pool | search [rest splunk_server=local /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields stack_id] | join type=outer stack_id [rest splunk_server=local /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields stack_id stack_quota] | stats sum(used_bytes) as used max(stack_quota) as total | eval usedGB=round(used/1024/1024/1024,2) | eval totalGB=round(total/1024/1024/1024,2)","GOEL-DS-LM-MC","1707205104.194817",0,splunkjs,0,0,0,1707205107,1,"manager_8268",0,completed,"0.514",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD57acff4e291500d3a_1707205104.8","| inputlookup dmc_assets | search search_group = ""dmc_group_kv_store""","GOEL-DS-LM-MC","1707205104.232400",0,splunkjs,0,0,0,1707205106,1,"kv-store-role-search",0,completed,"0.375",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5988bb0b911b03384_1707205106.9","| rest splunk_server=local /services/server/introspection/kvstore/collectionstats | mvexpand data | spath input=data | fields splunk_server, ns, size","GOEL-DS-LM-MC","1707205106.882688",0,splunkjs,0,0,0,1707205107,53,"manager_8387",0,completed,"0.525",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1707205106.10","| `dmc_get_all_triggered_alerts(1440)`","GOEL-DS-LM-MC","1707205106.890840",0,splunkjs,0,0,0,1707205107,0,"alerts-fired-search",0,completed,"0.385",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD513267d900cba87b8_1707210292.4","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes| eval sid = 'search_props.sid' | `dmc_classify_processes`| eval x=""cpu_usage"" | stats sum(pct_memory) as mem_used sum(normalized_pct_cpu) as cpu_used by process_class| append [| rest splunk_server=local /services/server/status/resource-usage/hostwide | fields cpu_idle_pct mem mem_used | eval mem_idle_pct=round((mem-mem_used)/mem,2)*100 | fields - mem mem_used | eval cpu_system_pct=0 | eval mem_system_pct=0 | transpose | eval process_class=if(column=""cpu_idle_pct"" OR column=""mem_idle_pct"",""Idle"",""Non-Splunk processes"") | rename ""row 1"" as value | eval mem_used=if(column=""mem_idle_pct"" OR column=""mem_system_pct"",value,NULL) | eval cpu_used=if(column=""cpu_idle_pct"" OR column=""cpu_system_pct"",value,NULL) | stats first(cpu_used) as cpu_used first(mem_used) as mem_used by process_class] | eventstats sum(mem_used) as sum_mem_used sum(cpu_used) as sum_cpu_used | eval mem_used=if(process_class=""Non-Splunk processes"",100-sum_mem_used,mem_used) | eval cpu_used=if(process_class=""Non-Splunk processes"",100-sum_cpu_used,cpu_used)","GOEL-DS-LM-MC","1707210292.250046",0,splunkjs,0,0,0,1707210292,8,"manager_8034",0,completed,"0.459",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD58e5a0ddb7661c4a1_1707210292.5","| rest splunk_server=local /services/server/introspection/indexer | fields average_KBps splunk_server | eval average_KBps=round(average_KBps,2)."" KB/s""","GOEL-DS-LM-MC","1707210292.252075",0,splunkjs,0,0,0,1707210292,1,"manager_8124",0,completed,"0.332",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5c85824441f970ca4_1707210292.6","| rest splunk_server=local /services/server/status/partitions-space | eval free = if(isnotnull(available), available, free) | stats sum(capacity) as total_capacity sum(free) as total_free","GOEL-DS-LM-MC","1707210292.264966",0,splunkjs,0,0,0,1707210292,1,"manager_8184",0,completed,"0.28700000000000003",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5ca9a6d6eaf8b060e_1707210292.7","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes | search search_props.sid=* | stats dc(search_props.sid) AS count by search_props.type | eventstats sum(count) as Total","GOEL-DS-LM-MC","1707210292.285323",0,splunkjs,0,0,0,1707210292,1,"manager_8244",0,completed,"0.336",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5aebcd495e2385ab3_1707210292.8","| rest splunk_server=local /services/licenser/pools | rename title AS Pool | search [rest splunk_server=local /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields stack_id] | join type=outer stack_id [rest splunk_server=local /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields stack_id stack_quota] | stats sum(used_bytes) as used max(stack_quota) as total | eval usedGB=round(used/1024/1024/1024,2) | eval totalGB=round(total/1024/1024/1024,2)","GOEL-DS-LM-MC","1707210292.317006",0,splunkjs,0,0,0,1707210292,1,"manager_8304",0,completed,"0.40900000000000003",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD57acff4e291500d3a_1707210292.9","| inputlookup dmc_assets | search search_group = ""dmc_group_kv_store""","GOEL-DS-LM-MC","1707210292.327115",0,splunkjs,0,0,0,1707210292,1,"kv-store-role-search",0,completed,"0.373",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5e4d1813134320e8e_1707210292.10","| rest splunk_server=local /services/server/introspection/kvstore/collectionstats | mvexpand data | spath input=data | fields splunk_server, ns, size","GOEL-DS-LM-MC","1707210292.490868",0,splunkjs,0,0,0,1707210292,53,"manager_8423",0,completed,"0.507",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1707210292.11","| `dmc_get_all_triggered_alerts(1440)`","GOEL-DS-LM-MC","1707210292.544265",0,splunkjs,0,0,0,1707210292,0,"alerts-fired-search",0,completed,"0.337",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5b069e4df2f1626dc_1707210386.38","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes| eval sid = 'search_props.sid' | `dmc_classify_processes`| eval x=""cpu_usage"" | stats sum(pct_memory) as mem_used sum(normalized_pct_cpu) as cpu_used by process_class| append [| rest splunk_server=local /services/server/status/resource-usage/hostwide | fields cpu_idle_pct mem mem_used | eval mem_idle_pct=round((mem-mem_used)/mem,2)*100 | fields - mem mem_used | eval cpu_system_pct=0 | eval mem_system_pct=0 | transpose | eval process_class=if(column=""cpu_idle_pct"" OR column=""mem_idle_pct"",""Idle"",""Non-Splunk processes"") | rename ""row 1"" as value | eval mem_used=if(column=""mem_idle_pct"" OR column=""mem_system_pct"",value,NULL) | eval cpu_used=if(column=""cpu_idle_pct"" OR column=""cpu_system_pct"",value,NULL) | stats first(cpu_used) as cpu_used first(mem_used) as mem_used by process_class] | eventstats sum(mem_used) as sum_mem_used sum(cpu_used) as sum_cpu_used | eval mem_used=if(process_class=""Non-Splunk processes"",100-sum_mem_used,mem_used) | eval cpu_used=if(process_class=""Non-Splunk processes"",100-sum_cpu_used,cpu_used)","GOEL-DS-LM-MC","1707210386.628375",0,splunkjs,0,0,0,1707210386,7,"manager_8076",0,completed,"0.553",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5551a02590afbe533_1707210386.39","| rest splunk_server=local /services/server/introspection/indexer | fields average_KBps splunk_server | eval average_KBps=round(average_KBps,2)."" KB/s""","GOEL-DS-LM-MC","1707210386.644851",0,splunkjs,0,0,0,1707210386,1,"manager_8166",0,completed,"0.40700000000000003",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD56c89d3f3bb4ec275_1707210386.40","| rest splunk_server=local /services/server/status/partitions-space | eval free = if(isnotnull(available), available, free) | stats sum(capacity) as total_capacity sum(free) as total_free","GOEL-DS-LM-MC","1707210386.657811",0,splunkjs,0,0,0,1707210386,1,"manager_8226",0,completed,"0.40800000000000003",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD54f38a8878fcae976_1707210386.41","| rest splunk_server=local /services/server/status/resource-usage/splunk-processes | search search_props.sid=* | stats dc(search_props.sid) AS count by search_props.type | eventstats sum(count) as Total","GOEL-DS-LM-MC","1707210386.726821",0,splunkjs,0,0,0,1707210387,0,"manager_8286",0,completed,"0.399",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5286d700a97dd7c2d_1707210386.42","| rest splunk_server=local /services/licenser/pools | rename title AS Pool | search [rest splunk_server=local /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields stack_id] | join type=outer stack_id [rest splunk_server=local /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields stack_id stack_quota] | stats sum(used_bytes) as used max(stack_quota) as total | eval usedGB=round(used/1024/1024/1024,2) | eval totalGB=round(total/1024/1024/1024,2)","GOEL-DS-LM-MC","1707210386.767326",0,splunkjs,0,0,0,1707210387,1,"manager_8346",0,completed,"0.604",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD57acff4e291500d3a_1707210386.43","| inputlookup dmc_assets | search search_group = ""dmc_group_kv_store""","GOEL-DS-LM-MC","1707210386.847508",0,splunkjs,0,0,0,1707210387,1,"kv-store-role-search",0,completed,"0.323",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD54bd75b62537a626f_1707210386.44","| rest splunk_server=local /services/server/introspection/kvstore/collectionstats | mvexpand data | spath input=data | fields splunk_server, ns, size","GOEL-DS-LM-MC","1707210386.865592",0,splunkjs,0,0,0,1707210387,53,"manager_8465",0,completed,"1.258",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1707210386.45","| `dmc_get_all_triggered_alerts(1440)`","GOEL-DS-LM-MC","1707210386.885771",0,splunkjs,0,0,0,1707210387,0,"alerts-fired-search",0,completed,"0.759",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search1_1707210417.72","| `dmc_get_groups`
        | search search_group=""dmc_group_*""","GOEL-DS-LM-MC","1707210417.007517",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210417,4,search1,0,completed,"0.028",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search2_1707210418.73","| `dmc_get_groups_containing_role(*)`
          | search search_group!=""dmc_group_*""","GOEL-DS-LM-MC","1707210418.090819",0,"UI:Dashboard:resource_usage_cpu_instance",0,0,0,1707210418,0,search2,0,canceled,"0.105",,,,,,,,,,,,,,,,,,,,,,,
