sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707192004.45","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707192004.263303",0,0,1707192004,1,0,completed,"0.138",,,,,,,,,,,
"1707192004.46","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707192004.636087",0,0,1707192004,1,0,completed,"0.037",,,,,,,,,,,
"1707193220.51","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707193220.825545",0,0,1707193220,1,0,completed,"0.06",,,,,,,,,,,
"1707193220.52","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707193220.947159",0,0,1707193220,1,0,completed,"0.028",,,,,,,,,,,
"1707193751.53","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707193751.717982",0,0,1707193751,1,0,completed,"0.061",,,,,,,,,,,
"1707193751.54","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707193751.847946",0,0,1707193751,1,0,completed,"0.023",,,,,,,,,,,
"1707193933.55","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707193933.994011",0,0,1707193934,1,0,completed,"0.06",,,,,,,,,,,
"1707193934.56","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707193934.123722",0,0,1707193934,1,0,completed,"0.025",,,,,,,,,,,
"1707194013.57","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707194013.422682",0,0,1707194013,1,0,completed,"0.162",,,,,,,,,,,
"1707194013.58","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707194013.770055",0,0,1707194013,1,0,completed,"0.076",,,,,,,,,,,
"1707195309.61","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707195309.661867",0,0,1707195309,1,0,completed,"0.06",,,,,,,,,,,
"1707195309.62","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707195309.791800",0,0,1707195309,1,0,completed,"0.023",,,,,,,,,,,
"1707202801.86","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707202801.496586",0,0,1707202801,1,0,completed,"0.099",,,,,,,,,,,
"1707202801.87","| rest splunk_server=local services/server/info","GOEL-LICENSE","1707202801.689406",0,0,1707202801,1,0,completed,"0.052000000000000005",,,,,,,,,,,
"1707202801.88","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707202801.704050",0,0,1707202801,1,0,completed,"0.094",,,,,,,,,,,
"1707202801.89","| rest services/server/info | sort splunk_server","GOEL-LICENSE","1707202801.767256",0,0,1707202801,1,0,completed,"0.043000000000000003",,,,,,,,,,,
