sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707202802.10","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707202802.326863",0,0,1707202802,1,0,completed,"0.197",,,,,,,,,,,
"1707202802.11","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707202802.352732",0,0,1707202802,1,0,completed,"0.123",,,,,,,,,,,
"1707202802.12","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707202802.662081",0,0,1707202802,4,0,completed,"0.227",,,,,,,,,,,
"1707202802.13","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707202802.688726",0,0,1707202802,4,0,completed,"0.275",,,,,,,,,,,
"1707206567.3","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707206567.623992",0,0,1707206567,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707206567.4","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707206567.745519",0,0,1707206567,1,0,completed,"0.024",,,,,,,,,,,
"1707207506.8","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707207506.685137",0,0,1707207506,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707207506.9","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707207506.807059",0,0,1707207506,1,0,completed,"0.024",,,,,,,,,,,
"1707208361.10","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707208361.729579",0,0,1707208361,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707208361.11","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707208361.860004",0,0,1707208361,1,0,completed,"0.024",,,,,,,,,,,
"1707209385.14","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707209385.995957",0,0,1707209386,1,0,completed,"0.06",,,,,,,,,,,
"1707209386.15","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707209386.126618",0,0,1707209386,1,0,completed,"0.023",,,,,,,,,,,
"1707209952.16","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707209952.235261",0,0,1707209952,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707209952.17","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707209952.355793",0,0,1707209952,1,0,completed,"0.023",,,,,,,,,,,
"1707221527.19","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707221527.168237",0,0,1707221527,1,0,completed,"0.099",,,,,,,,,,,
"1707221527.20","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707221527.395812",0,0,1707221527,4,0,completed,"0.217",,,,,,,,,,,
"1707223286.26","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707223286.547163",0,0,1707223286,1,0,completed,"0.095",,,,,,,,,,,
"1707223286.27","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707223286.731755",0,0,1707223286,4,0,completed,"0.35100000000000003",,,,,,,,,,,
"1707223411.29","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707223411.306035",0,0,1707223411,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707223411.30","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707223411.427426",0,0,1707223411,4,0,completed,"0.068",,,,,,,,,,,
"1707223454.31","| rest splunk_server=local services/server/info","GOEL-ClusterMaster","1707223454.279835",0,0,1707223454,1,0,completed,"0.023",,,,,,,,,,,
"1707223454.32","| rest services/server/info | sort splunk_server","GOEL-ClusterMaster","1707223454.328628",0,0,1707223454,4,0,completed,"0.115",,,,,,,,,,,
