sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707200221.4","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707200221.795398",0,0,1707200227,0,0,canceled,"0.517",,,,,,,,,,,
"1707203821.19","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707203821.042523",0,0,1707203821,0,0,canceled,"1.162",,,,,,,,,,,
"1707207420.7","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707207420.868951",0,0,1707207420,0,0,canceled,"0.721",,,,,,,,,,,
"1707211021.20","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707211021.027135",0,0,1707211021,0,0,canceled,"0.453",,,,,,,,,,,
"1707214622.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707214622.548489",0,0,1707214622,0,0,canceled,"0.6920000000000001",,,,,,,,,,,
"1707218221.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707218221.438340",0,0,1707218221,0,0,canceled,"0.9540000000000001",,,,,,,,,,,
"1707221821.21","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707221821.669302",0,0,1707221821,0,0,canceled,"0.643",,,,,,,,,,,
"1707225420.40","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707225420.995433",0,0,1707225421,0,0,canceled,"1.813",,,,,,,,,,,
"1707229021.49","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707229021.034586",0,0,1707229021,0,0,canceled,"1.693",,,,,,,,,,,
"1707232621.58","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707232621.403775",0,0,1707232621,0,0,canceled,"1.186",,,,,,,,,,,
"1707236221.74","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707236221.383473",0,0,1707236221,0,0,canceled,"1.232",,,,,,,,,,,
"1707239821.91","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707239821.561452",0,0,1707239821,0,0,canceled,"1.2610000000000001",,,,,,,,,,,
"1707243421.100","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707243421.584747",0,0,1707243421,0,0,canceled,"0.977",,,,,,,,,,,
"1707247021.115","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707247021.019777",0,0,1707247021,0,0,canceled,"0.996",,,,,,,,,,,
"1707250620.132","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-ClusterMaster","1707250620.771516",0,0,1707250620,0,0,canceled,"0.779",,,,,,,,,,,
